time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
432.4121,378.2449,0.63,313.3169,0,134,0,False,0
432.424,350,0.6,396,0,180,0,False,0
432.4661,350,0.6,396,0,180,0,False,0
432.4796,350,0.6,396,0,180,0,False,0
432.482,350,0.6,396,0,180,0,False,0
432.4842,350,0.6,396,0,180,0,False,0
432.492,350,0.6,396,0,180,0,False,0
432.4998,350,0.6,396,0,180,0,False,0
432.5099,350,0.6,396,0,180,0,False,0
432.5177,350,0.6,396,0,180,0,False,0
432.5285,350,0.6,396,0,180,0,False,0
432.5364,350,0.6,396,0,180,0,False,0
432.5467,350,0.6,396,0,180,0,False,0
432.5584,350,0.6,396,0,180,0,False,0
432.5655,350,0.6,396,0,180,0,False,0
432.5755,350,0.6,396,0,180,0,False,0
432.5833,350,0.6,396,0,180,0,False,0
432.5944,350,0.6,396,0,180,0,False,0
432.6013,350,0.6,396,0,180,0,False,0
432.6107,350,0.6,396,0,180,0,False,0
432.6187,350,0.6,396,0,180,0,False,0
432.6311,350,0.6,396,0,180,0,False,0
432.6405,350,0.6,396,0,180,0,False,0
432.6483,350,0.6,396,0,180,0,False,0
432.6592,350,0.6,396,0,180,0,False,0
432.6674,350,0.6,396,0,180,0,False,0
432.679,350,0.6,396,0,180,0,False,0
432.6873,350,0.6,396,0,180,0,False,0
432.6973,350,0.6,396,0,180,0,False,0
432.709,350,0.6,396,0,180,0,False,0
432.7161,350,0.6,396,0,180,0,False,0
432.7271,350,0.6,396,0,180,0,False,0
432.7387,350,0.6,396,0,180,0,False,0
432.747,350,0.6,396,0,180,0,False,0
432.7581,350,0.6,396,0,180,0,False,0
432.766,350,0.6,396,0,180,0,False,0
432.7757,350,0.6,396,0,180,0,False,0
432.7837,350,0.6,396,0,180,0,False,0
432.7948,350,0.6,396,0,180,0,False,0
432.8028,350,0.6,396,0,180,0,False,0
432.8128,350,0.6,396,0,180,0,False,0
432.8245,350,0.6,396,0,180,0,False,0
432.8323,350,0.6,396,0,180,0,False,0
432.8425,350,0.6,396,0,180,0,False,0
432.8505,350,0.6,396,0,180,0,False,0
432.8622,350,0.6,396,0,180,0,False,0
432.87,350,0.6,396,0,180,0,False,0
432.8804,350,0.6,396,0,180,0,False,0
432.8922,350,0.6,396,0,180,0,False,0
432.8992,350,0.6,396,0,180,0,False,0
432.9101,350,0.6,396,0,180,0,False,0
432.9173,350,0.6,396,0,180,0,False,0
432.929,350,0.6,396,0,180,0,False,0
432.937,350,0.6,396,0,180,0,False,0
432.9463,350,0.6,396,0,180,0,False,0
432.9583,350,0.6,396,0,180,0,False,0
432.9652,350,0.6,396,0,180,0,False,0
432.9761,350,0.6,396,0,180,0,False,0
432.9833,350,0.6,396,0,180,0,False,0
432.995,350,0.6,396,0,180,0,False,0
433.0029,350,0.6,396,0,180,0,False,0
433.0131,350,0.6,396,0,180,0,False,0
433.024,350,0.6,396,0,180,0,False,0
433.031,350,0.6,396,0,180,0,False,0
433.042,350,0.6,396,0,180,0,False,0
433.0491,350,0.6,396,0,180,0,False,0
433.0608,350,0.6,396,0,180,0,False,0
433.0685,350,0.6,396,0,180,0,False,0
433.0789,350,0.6,396,0,180,0,False,0
433.0898,350,0.6,396,0,180,0,False,0
433.0969,350,0.6,396,0,180,0,False,0
433.1077,350,0.6,396,0,180,0,False,0
433.1147,350,0.6,396,0,180,0,False,0
433.1248,350,0.6,396,0,180,0,False,0
433.1327,350,0.6,396,0,180,0,False,0
433.1436,350,0.6,396,0,180,0,False,0
433.1499,350,0.6,396,0,180,0,False,0
433.1598,350,0.6,396,0,180,0,False,0
433.1684,350,0.6,396,0,180,0,False,0
433.1785,350,0.6,396,0,180,0,False,0
433.1866,350,0.6,396,0,180,0,False,0
433.1965,350,0.6,396,0,180,0,False,0
433.2075,350,0.6,396,0,180,0,False,0
433.2136,350,0.6,396,0,180,0,False,0
433.2237,350,0.6,396,0,180,0,False,0
433.2316,350,0.6,396,0,180,0,False,0
433.2425,350,0.6,396,0,180,0,False,0
433.2504,350,0.6,396,0,180,0,False,0
433.2606,350,0.6,396,0,180,0,False,0
433.2691,350,0.6,396,0,180,0,False,0
433.2803,350,0.6,396,0,180,0,False,0
433.2895,350,0.6,396,0,180,0,False,0
433.2978,350,0.6,396,0,180,0,False,0
433.3093,350,0.6,396,0,180,0,False,0
433.3154,350,0.6,396,0,180,0,False,0
433.3272,350,0.6,396,0,180,0,False,0
433.3345,350,0.6,396,0,180,0,False,0
433.3461,350,0.6,396,0,180,0,False,0
433.357,350,0.6,396,0,180,0,False,0
433.3641,350,0.63,395.9,0,180,0,False,0
433.374,350,0.63,395.9,0,180,0,False,0
433.381,350,0.63,395.8,0,180,0,False,0
433.3911,350,0.63,395.8,0,180,0,False,0
433.3981,350,0.63,395.8,0,180,0,False,0
433.4083,350,0.63,395.7,0,180,0,False,0
433.4161,350,0.63,395.7,0,180,0,False,0
433.426,350,0.63,395.6,0,180,0,False,0
433.4339,350,0.63,395.6,0,180,0,False,0
433.4448,350,0.63,395.5,0,180,0,False,0
433.4518,350,0.63,395.5,0,180,0,False,0
433.4619,350,0.63,395.4,0,180,0,False,0
433.472,350,0.63,395.4,0,180,0,False,0
433.4798,350,0.63,395.4,0,180,0,False,0
433.4908,350,0.63,395.3,0,180,0,False,0
433.4977,350,0.63,395.3,0,180,0,False,0
433.5078,350,0.63,395.2,0,180,0,False,0
433.5148,350,0.63,395.2,0,180,0,False,0
433.5249,350,0.63,395.1,0,180,0,False,0
433.5327,350,0.63,395.1,0,180,0,False,0
433.5446,350,0.63,395,0,180,0,False,0
433.552,350,0.63,395,0,180,0,False,0
433.5627,350,0.63,394.9,0,180,0,False,0
433.5745,350,0.63,394.9,0,180,0,False,0
433.5806,350,0.63,394.8,0,180,0,False,0
433.5926,350,0.63,394.8,0,180,0,False,0
433.5985,350,0.63,394.8,0,180,0,False,0
433.6086,350,0.63,394.7,0,180,0,False,0
433.6165,350,0.63,394.7,0,180,0,False,0
433.6274,350,0.63,394.6,0,180,0,False,0
433.6355,350,0.63,394.6,0,180,0,False,0
433.6444,350,0.63,394.5,0,180,0,False,0
433.6563,350,0.63,394.5,0,180,0,False,0
433.6632,350,0.63,394.4,0,180,0,False,0
433.6726,350,0.63,394.4,0,180,0,False,0
433.6804,350,0.63,394.3,0,180,0,False,0
433.6907,350,0.63,394.3,0,180,0,False,0
433.6976,350,0.63,394.3,0,180,0,False,0
433.7096,350,0.63,394.2,0,180,0,False,0
433.7157,350,0.63,394.2,0,180,0,False,0
433.7256,350,0.63,394.1,0,180,0,False,0
433.7335,350,0.63,394.1,0,180,0,False,0
433.7444,350,0.63,394,0,180,0,False,0
433.751,350,0.63,394,0,180,0,False,0
433.7615,350,0.63,393.9,0,180,0,False,0
433.7733,350,0.63,393.9,0,180,0,False,0
433.7795,350,0.63,393.9,0,180,0,False,0
433.7896,350,0.63,393.8,0,180,0,False,0
433.7974,350,0.63,393.8,0,180,0,False,0
433.8084,350,0.63,393.7,0,180,0,False,0
433.8164,350,0.63,393.7,0,180,0,False,0
433.8265,350,0.63,393.6,0,180,0,False,0
433.8344,350,0.63,393.6,0,180,0,False,0
433.8452,350,0.63,393.5,0,180,0,False,0
433.857,350,0.63,393.5,0,180,0,False,0
433.8641,350,0.63,393.4,0,180,0,False,0
433.8759,350,0.63,393.4,0,180,0,False,0
433.8822,350,0.63,393.3,0,180,0,False,0
433.8937,350,0.63,393.3,0,180,0,False,0
433.9001,350,0.63,393.2,0,180,0,False,0
433.9117,350,0.63,393.2,0,180,0,False,0
433.9186,350,0.63,393.2,0,180,0,False,0
433.9289,350,0.63,393.1,0,180,0,False,0
433.9388,350,0.63,393.1,0,180,0,False,0
433.9467,350,0.63,393,0,180,0,False,0
433.9568,350,0.63,393,0,180,0,False,0
433.9648,350,0.63,392.9,0,180,0,False,0
433.9748,350,0.63,392.9,0,180,0,False,0
433.9828,350,0.63,392.8,0,180,0,False,0
433.9928,350,0.63,392.8,0,180,0,False,0
433.999,350,0.63,392.8,0,180,0,False,0
434.0107,350,0.63,392.7,0,180,0,False,0
434.0173,350,0.63,392.7,0,180,0,False,0
434.0278,350,0.63,392.6,0,180,0,False,0
434.0381,350,0.63,392.6,0,180,0,False,0
434.0458,350,0.63,392.5,0,180,0,False,0
434.0558,350,0.63,392.5,0,180,0,False,0
434.0637,350,0.63,392.4,0,180,0,False,0
434.0737,350,0.63,392.4,0,180,0,False,0
434.0815,350,0.63,392.3,0,180,0,False,0
434.0916,350,0.63,392.3,0,180,0,False,0
434.0995,350,0.63,392.3,0,180,0,False,0
434.1095,350,0.63,392.2,0,180,0,False,0
434.1176,350,0.63,392.2,0,180,0,False,0
434.1276,350,0.63,392.1,0,180,0,False,0
434.1367,350,0.63,392.1,0,180,0,False,0
434.1447,350,0.63,392,0,180,0,False,0
434.1565,350,0.63,392,0,180,0,False,0
434.1627,350,0.63,391.9,0,180,0,False,0
434.1745,350,0.63,391.9,0,180,0,False,0
434.1806,350,0.63,391.8,0,180,0,False,0
434.1906,350,0.63,391.8,0,180,0,False,0
434.1985,350,0.63,391.8,0,180,0,False,0
434.2086,350,0.63,391.7,0,180,0,False,0
434.2165,350,0.63,391.7,0,180,0,False,0
434.2264,350,0.63,391.6,0,180,0,False,0
434.2342,350,0.63,391.6,0,180,0,False,0
434.2444,350,0.63,391.5,0,180,0,False,0
434.2546,350,0.63,391.5,0,180,0,False,0
434.2624,350,0.63,391.4,0,180,0,False,0
434.2723,350,0.63,391.4,0,180,0,False,0
434.2796,350,0.63,391.4,0,180,0,False,0
434.2915,350,0.63,391.3,0,180,0,False,0
434.2975,350,0.63,391.3,0,180,0,False,0
434.3077,350,0.63,391.2,0,180,0,False,0
434.3165,350,0.63,391.2,0,180,0,False,0
434.3264,350,0.63,391.1,0,180,0,False,0
434.3327,350,0.63,391.1,0,180,0,False,0
434.3444,350,0.63,391,0,180,0,False,0
434.3509,350,0.63,391,0,180,0,False,0
434.3615,350,0.63,390.9,0,180,0,False,0
434.3733,350,0.63,390.9,0,180,0,False,0
434.3795,350,0.63,390.9,0,180,0,False,0
434.3893,350,0.63,390.8,0,180,0,False,0
434.3973,350,0.63,390.8,0,180,0,False,0
434.4082,350,0.63,390.7,0,180,0,False,0
434.4143,350,0.63,390.7,0,180,0,False,0
434.4263,350,0.63,390.6,0,180,0,False,0
434.4333,350,0.63,390.6,0,180,0,False,0
434.4433,350,0.63,390.5,0,180,0,False,0
434.4498,350,0.63,390.5,0,180,0,False,0
434.4612,350,0.63,390.4,0,180,0,False,0
434.4715,350,0.63,390.4,0,180,0,False,0
434.4783,350,0.63,390.4,0,180,0,False,0
434.4885,350,0.63,390.3,0,180,0,False,0
434.4963,350,0.63,390.3,0,180,0,False,0
434.5063,350,0.63,390.2,0,180,0,False,0
434.5142,350,0.63,390.2,0,180,0,False,0
434.5242,350,0.63,390.1,0,180,0,False,0
434.5322,350,0.63,390.1,0,180,0,False,0
434.5422,350,0.63,390,0,180,0,False,0
434.5492,350,0.63,390,0,180,0,False,0
434.5593,350,0.63,390,0,180,0,False,0
434.5676,350,0.63,389.9,0,180,0,False,0
434.578,350,0.63,389.9,0,180,0,False,0
434.5881,350,0.63,389.8,0,180,0,False,0
434.596,350,0.63,389.8,0,180,0,False,0
434.606,350,0.63,389.7,0,180,0,False,0
434.614,350,0.63,389.7,0,180,0,False,0
434.624,350,0.63,389.6,0,180,0,False,0
434.6318,350,0.63,389.6,0,180,0,False,0
434.6419,350,0.63,389.5,0,180,0,False,0
434.6498,350,0.63,389.5,0,180,0,False,0
434.6598,350,0.63,389.5,0,180,0,False,0
434.6674,350,0.63,389.4,0,180,0,False,0
434.678,350,0.63,389.4,0,180,0,False,0
434.6887,350,0.63,389.3,0,180,0,False,0
434.6957,350,0.63,389.3,0,180,0,False,0
434.7065,350,0.63,389.2,0,180,0,False,0
434.7147,350,0.63,389.2,0,180,0,False,0
434.7245,350,0.63,389.1,0,180,0,False,0
434.7309,350,0.63,389.1,0,180,0,False,0
