time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
687.9688,322.3392,0.63,313.4414,0,226.2647,0,False,1
687.9818,306.2514,0.6,364.2148,0,108,0,False,0
688.0399,306.2514,0.6,364.2148,0,108,0,False,0
688.0518,306.2514,0.6,364.2148,0,108,0,False,0
688.0544,306.2514,0.6,364.2148,0,108,0,False,0
688.0565,306.2514,0.6,364.2148,0,108,0,False,0
688.0662,306.2514,0.6,364.2148,0,108,0,False,0
688.0742,306.2514,0.6,364.2148,0,108,0,False,0
688.0843,306.2514,0.6,364.2148,0,108,0,False,0
688.0936,306.2514,0.6,364.2148,0,108,0,False,0
688.1031,306.2514,0.6,364.2148,0,108,0,False,0
688.115,306.2514,0.6,364.2148,0,108,0,False,0
688.1231,306.2514,0.6,364.2148,0,108,0,False,0
688.133,306.2514,0.6,364.2148,0,108,0,False,0
688.1409,306.2514,0.6,364.2148,0,108,0,False,0
688.1529,306.2514,0.6,364.2148,0,108,0,False,0
688.163,306.2514,0.6,364.2148,0,108,0,False,0
688.1711,306.2514,0.6,364.2148,0,108,0,False,0
688.1829,306.2514,0.6,364.2148,0,108,0,False,0
688.191,306.2514,0.6,364.2148,0,108,0,False,0
688.2028,306.2514,0.6,364.2148,0,108,0,False,0
688.2137,306.2514,0.6,364.2148,0,108,0,False,0
688.2216,306.2514,0.6,364.2148,0,108,0,False,0
688.2338,306.2514,0.6,364.2148,0,108,0,False,0
688.2429,306.2514,0.6,364.2148,0,108,0,False,0
688.2526,306.2514,0.6,364.2148,0,108,0,False,0
688.2646,306.2514,0.6,364.2148,0,108,0,False,0
688.2725,306.2514,0.6,364.2148,0,108,0,False,0
688.2834,306.2514,0.6,364.2148,0,108,0,False,0
688.2928,306.2514,0.6,364.2148,0,108,0,False,0
688.3035,306.2514,0.6,364.2148,0,108,0,False,0
688.3136,306.2514,0.6,364.2148,0,108,0,False,0
688.3217,306.2514,0.6,364.2148,0,108,0,False,0
688.3326,306.2514,0.6,364.2148,0,108,0,False,0
688.341,306.2514,0.6,364.2148,0,108,0,False,0
688.3525,306.2514,0.6,364.2148,0,108,0,False,0
688.3644,306.2514,0.6,364.2148,0,108,0,False,0
688.3725,306.2514,0.6,364.2148,0,108,0,False,0
688.3843,306.2514,0.6,364.2148,0,108,0,False,0
688.3936,306.2514,0.6,364.2148,0,108,0,False,0
688.4043,306.2514,0.6,364.2148,0,108,0,False,0
688.4147,306.2514,0.6,364.2148,0,108,0,False,0
688.4225,306.2514,0.6,364.2148,0,108,0,False,0
688.4344,306.2514,0.6,364.2148,0,108,0,False,0
688.4463,306.2514,0.6,364.2148,0,108,0,False,0
688.4542,306.2514,0.6,364.2148,0,108,0,False,0
688.4661,306.2514,0.6,364.2148,0,108,0,False,0
688.474,306.2514,0.6,364.2148,0,108,0,False,0
688.486,306.2514,0.6,364.2148,0,108,0,False,0
688.4963,306.2514,0.6,364.2148,0,108,0,False,0
688.5041,306.2514,0.6,364.2148,0,108,0,False,0
688.5162,306.2514,0.6,364.2148,0,108,0,False,0
688.5251,306.2514,0.6,364.2148,0,108,0,False,0
688.5369,306.2514,0.6,364.2148,0,108,0,False,0
688.548,306.2514,0.6,364.2148,0,108,0,False,0
688.556,306.2514,0.6,364.2148,0,108,0,False,0
688.5678,306.2514,0.6,364.2148,0,108,0,False,0
688.5774,306.2514,0.6,364.2148,0,108,0,False,0
688.5877,306.2514,0.6,364.2148,0,108,0,False,0
688.5998,306.2514,0.6,364.2148,0,108,0,False,0
688.6069,306.2514,0.6,364.2148,0,108,0,False,0
688.6187,306.2514,0.6,364.2148,0,108,0,False,0
688.6299,306.2514,0.6,364.2148,0,108,0,False,0
688.6378,306.2514,0.6,364.2148,0,108,0,False,0
688.6496,306.2514,0.6,364.2148,0,108,0,False,0
688.6586,306.2514,0.6,364.2148,0,108,0,False,0
688.6696,306.2514,0.6,364.2148,0,108,0,False,0
688.6797,306.2514,0.6,364.2148,0,108,0,False,0
688.6877,306.2514,0.6,364.2148,0,108,0,False,0
688.6996,306.2514,0.6,364.2148,0,108,0,False,0
688.7085,306.2514,0.6,364.2148,0,108,0,False,0
688.7195,306.2514,0.6,364.2148,0,108,0,False,0
688.7314,306.2514,0.6,364.2148,0,108,0,False,0
688.7394,306.2514,0.6,364.2148,0,108,0,False,0
688.7496,306.2514,0.6,364.2148,0,108,0,False,0
688.7603,306.2514,0.6,364.2148,0,108,0,False,0
688.7706,306.2514,0.6,364.2148,0,108,0,False,0
688.7808,306.2514,0.6,364.2148,0,108,0,False,0
688.7896,306.2514,0.6,364.2148,0,108,0,False,0
688.8016,306.2514,0.6,364.2148,0,108,0,False,0
688.8104,306.2514,0.6,364.2148,0,108,0,False,0
688.8206,306.2514,0.6,364.2148,0,108,0,False,0
688.8324,306.2514,0.6,364.2148,0,108,0,False,0
688.8404,306.2514,0.6,364.2148,0,108,0,False,0
688.8505,306.2514,0.6,364.2148,0,108,0,False,0
688.8624,306.2514,0.6,364.2148,0,108,0,False,0
