time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
542.6672,348.5799,0.63,397.1803,0,6.0294,0,False,0
542.6782,322.9619,0.6,312.7852,0,36,0,False,0
542.7205,322.9619,0.6,312.7852,0,36,0,False,0
542.7385,322.9619,0.6,312.7852,0,36,0,False,0
542.7409,322.9619,0.6,312.7852,0,36,0,False,0
542.743,322.9619,0.6,312.7852,0,36,0,False,0
542.7488,322.9619,0.6,312.7852,0,36,0,False,0
542.7588,322.9619,0.6,312.7852,0,36,0,False,0
542.7654,322.9619,0.6,312.7852,0,36,0,False,0
542.7768,322.9619,0.6,312.7852,0,36,0,False,0
542.7845,322.9619,0.6,312.7852,0,36,0,False,0
542.7946,322.9619,0.6,312.7852,0,36,0,False,0
542.8045,322.9619,0.6,312.7852,0,36,0,False,0
542.8108,322.9619,0.6,312.7852,0,36,0,False,0
542.8225,322.9619,0.6,312.7852,0,36,0,False,0
542.8286,322.9619,0.6,312.7852,0,36,0,False,0
542.8386,322.9619,0.6,312.7852,0,36,0,False,0
542.8465,322.9619,0.6,312.7852,0,36,0,False,0
542.8564,322.9619,0.6,312.7852,0,36,0,False,0
542.8628,322.9619,0.6,312.7852,0,36,0,False,0
542.8743,322.9619,0.6,312.7852,0,36,0,False,0
542.8806,322.9619,0.6,312.7852,0,36,0,False,0
542.8906,322.9619,0.6,312.7852,0,36,0,False,0
542.8983,322.9619,0.6,312.7852,0,36,0,False,0
542.9075,322.9619,0.6,312.7852,0,36,0,False,0
542.9153,322.9619,0.6,312.7852,0,36,0,False,0
542.9254,322.9619,0.6,312.7852,0,36,0,False,0
542.9345,322.9619,0.6,312.7852,0,36,0,False,0
542.9423,322.9619,0.6,312.7852,0,36,0,False,0
542.9514,322.9619,0.6,312.7852,0,36,0,False,0
542.9595,322.9619,0.6,312.7852,0,36,0,False,0
542.9686,322.9619,0.6,312.7852,0,36,0,False,0
542.9774,322.9619,0.6,312.7852,0,36,0,False,0
542.9874,322.9619,0.6,312.7852,0,36,0,False,0
542.9943,322.9619,0.6,312.7852,0,36,0,False,0
543.0056,322.9619,0.6,312.7852,0,36,0,False,0
543.011,322.9619,0.6,312.7852,0,36,0,False,0
543.0226,322.9619,0.6,312.7852,0,36,0,False,0
543.0297,322.9619,0.6,312.7852,0,36,0,False,0
543.0396,322.9619,0.6,312.7852,0,36,0,False,0
543.0469,322.9619,0.6,312.7852,0,36,0,False,0
543.0565,322.9619,0.6,312.7852,0,36,0,False,0
543.0636,322.9619,0.6,312.7852,0,36,0,False,0
543.0729,322.9619,0.6,312.7852,0,36,0,False,0
543.079,322.9619,0.6,312.7852,0,36,0,False,0
543.0907,322.9619,0.6,312.7852,0,36,0,False,0
543.097,322.9619,0.6,312.7852,0,36,0,False,0
543.1068,322.9619,0.6,312.7852,0,36,0,False,0
543.1139,322.9619,0.6,312.7852,0,36,0,False,0
543.1238,322.9619,0.6,312.7852,0,36,0,False,0
543.1309,322.9619,0.6,312.7852,0,36,0,False,0
543.1407,322.9619,0.6,312.7852,0,36,0,False,0
543.1486,322.9619,0.6,312.7852,0,36,0,False,0
543.1585,322.9619,0.6,312.7852,0,36,0,False,0
543.1667,322.9619,0.6,312.7852,0,36,0,False,0
543.1756,322.9619,0.6,312.7852,0,36,0,False,0
543.1848,322.9619,0.6,312.7852,0,36,0,False,0
543.1927,322.9619,0.6,312.7852,0,36,0,False,0
543.2014,322.9619,0.6,312.7852,0,36,0,False,0
543.2103,322.9619,0.6,312.7852,0,36,0,False,0
543.2204,322.9619,0.6,312.7852,0,36,0,False,0
543.2281,322.9619,0.6,312.7852,0,36,0,False,0
543.2381,322.9619,0.6,312.7852,0,36,0,False,0
543.2444,322.9619,0.6,312.7852,0,36,0,False,0
543.256,322.9619,0.6,312.7852,0,36,0,False,0
543.2621,322.9619,0.6,312.7852,0,36,0,False,0
543.2721,322.9619,0.6,312.7852,0,36,0,False,0
543.2802,322.9619,0.6,312.7852,0,36,0,False,0
543.29,322.9619,0.6,312.7852,0,36,0,False,0
543.296,322.9619,0.6,312.7852,0,36,0,False,0
543.306,322.9619,0.6,312.7852,0,36,0,False,0
543.313,322.9619,0.6,312.7852,0,36,0,False,0
543.323,322.9619,0.6,312.7852,0,36,0,False,0
543.33,322.9619,0.6,312.7852,0,36,0,False,0
543.34,322.9619,0.6,312.7852,0,36,0,False,0
543.3472,322.9619,0.6,312.7852,0,36,0,False,0
543.3569,322.9619,0.6,312.7852,0,36,0,False,0
543.3647,322.9619,0.6,312.7852,0,36,0,False,0
543.3748,322.9619,0.6,312.7852,0,36,0,False,0
543.381,322.9619,0.6,312.7852,0,36,0,False,0
543.3911,322.9619,0.6,312.7852,0,36,0,False,0
543.3996,322.9619,0.6,312.7852,0,36,0,False,0
543.4089,322.9619,0.6,312.7852,0,36,0,False,0
543.4178,322.9619,0.6,312.7852,0,36,0,False,0
543.4287,322.9619,0.6,312.7852,0,36,0,False,0
543.4386,322.9619,0.6,312.7852,0,36,0,False,0
543.4448,322.9619,0.6,312.7852,0,36,0,False,0
543.4556,322.9619,0.6,312.7852,0,36,0,False,0
543.4619,322.9619,0.6,312.7852,0,36,0,False,0
543.4734,322.9619,0.6,312.7852,0,36,0,False,0
543.4796,322.9619,0.6,312.7852,0,36,0,False,0
543.4896,322.9619,0.6,312.7852,0,36,0,False,0
543.4976,322.9619,0.6,312.7852,0,36,0,False,0
543.5073,322.9619,0.6,312.7852,0,36,0,False,0
543.5136,322.9619,0.6,312.7852,0,36,0,False,0
543.5236,322.9619,0.6,312.7852,0,36,0,False,0
543.5307,322.9619,0.6,312.7852,0,36,0,False,0
543.5404,322.9619,0.6,312.7852,0,36,0,False,0
543.5477,322.9619,0.6,312.7852,0,36,0,False,0
543.5582,322.9619,0.6,312.7852,0,36,0,False,0
543.5646,322.9619,0.6,312.7852,0,36,0,False,0
543.5745,322.9619,0.6,312.7852,0,36,0,False,0
543.5833,322.9619,0.6,312.7852,0,36,0,False,0
543.5923,322.9619,0.6,312.7852,0,36,0,False,0
543.5998,322.9619,0.6,312.7852,0,36,0,False,0
543.6111,322.9619,0.6,312.7852,0,36,0,False,0
543.621,322.9619,0.6,312.7852,0,36,0,False,0
543.6273,322.9619,0.6,312.7852,0,36,0,False,0
543.6371,322.9619,0.6,312.7852,0,36,0,False,0
543.645,322.9619,0.6,312.7852,0,36,0,False,0
543.6516,322.9619,0.6,312.7852,0,36,0,False,0
