time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
175.7885,0,0,0,0,0,0,False,0
175.8036,120.5,0.5922,38,0,0,0,False,0
175.9036,120.5,0.58,38,0,0,0,False,0
175.921,120.5,0.58,38,0,0,0,False,0
175.9219,120.5,0.58,38,0,0,0,False,0
175.9234,120.5,0.58,38,0,0,0,False,0
175.93,120.5,0.58,38,0,0,0,False,0
175.9389,120.5,0.58,38,0,0,0,False,0
175.9458,120.5,0.58,38,0,0,0,False,0
175.9548,120.5,0.58,38,0,0,0,False,0
175.9618,120.5,0.58,38,0,0,0,False,0
175.9718,120.5,0.58,38,0,0,0,False,0
175.9789,120.5,0.58,38,0,0,0,False,0
175.9877,120.5,0.58,38,0,0,0,False,0
175.9947,120.5,0.58,38,0,0,0,False,0
176.0061,120.5,0.58,38,0,0,0,False,0
176.0107,120.5,0.58,38,0,0,0,False,0
176.0216,120.5,0.58,38,0,0,0,False,0
176.0289,120.5,0.58,38,0,0,0,False,0
176.0375,120.5,0.58,38,0,0,0,False,0
176.0459,120.5,0.58,38,0,0,0,False,0
176.0558,120.5,0.58,38,0,0,0,False,0
176.0605,120.5,0.58,38,0,0,0,False,0
176.069,120.5,0.58,38,0,0,0,False,0
176.0775,120.5,0.58,38,0,0,0,False,0
176.0887,120.5,0.58,38,0,0,0,False,0
176.0935,120.5,0.58,38,0,0,0,False,0
176.1018,120.5,0.58,38,0,0,0,False,0
176.1115,120.5,0.58,38,0,0,0,False,0
176.1187,120.5,0.58,38,0,0,0,False,0
176.1279,120.5,0.58,38,0,0,0,False,0
176.1389,120.5,0.58,38,0,0,0,False,0
176.1459,120.5,0.58,38,0,0,0,False,0
176.1577,120.5,0.58,38,0,0,0,False,0
176.1628,120.5,0.58,38,0,0,0,False,0
176.1737,120.5,0.58,38,0,0,0,False,0
176.181,120.5,0.58,38,0,0,0,False,0
176.1928,120.5,0.58,38,0,0,0,False,0
176.1997,120.5,0.58,38,0,0,0,False,0
176.2107,120.5,0.58,38,0,0,0,False,0
176.2228,120.5,0.58,38,0,0,0,False,0
176.2298,120.5,0.58,38,0,0,0,False,0
176.2383,120.5,0.58,38,0,0,0,False,0
176.2455,120.5,0.58,38,0,0,0,False,0
176.2565,120.5,0.58,38,0,0,0,False,0
176.2626,120.5,0.58,38,0,0,0,False,0
176.2735,120.5,0.58,38,0,0,0,False,0
176.2795,120.5,0.58,38,0,0,0,False,0
176.2905,120.5,0.58,38,0,0,0,False,0
176.2973,120.5,0.58,38,0,0,0,False,0
176.3074,120.5,0.58,38,0,0,0,False,0
176.3143,120.5,0.58,38,0,0,0,False,0
176.3253,120.5,0.58,38,0,0,0,False,0
176.3322,120.5,0.58,38,0,0,0,False,0
176.3423,120.5,0.58,38,0,0,0,False,0
176.3493,120.5,0.58,38,0,0,0,False,0
176.3604,120.5,0.58,38,0,0,0,False,0
176.3662,120.5,0.58,38,0,0,0,False,0
176.3771,120.5,0.58,38,0,0,0,False,0
176.3842,120.5,0.58,38,0,0,0,False,0
176.3955,120.5,0.58,38,0,0,0,False,0
176.4041,120.5,0.58,38,0,0,0,False,0
176.411,120.5,0.58,38,0,0,0,False,0
176.4221,120.5,0.58,38,0,0,0,False,0
176.4291,120.5,0.58,38,0,0,0,False,0
176.4403,120.5,0.58,38,0,0,0,False,0
176.4471,120.5,0.58,38,0,0,0,False,0
176.4559,120.5,0.58,38,0,0,0,False,0
176.463,120.5,0.58,38,0,0,0,False,0
176.473,120.5,0.58,38,0,0,0,False,0
176.4799,120.5,0.58,38,0,0,0,False,0
176.4908,120.5,0.58,38,0,0,0,False,0
176.4968,120.5,0.58,38,0,0,0,False,0
176.5077,120.5,0.58,38,0,0,0,False,0
176.5148,120.5,0.58,38,0,0,0,False,0
176.5261,120.5,0.58,38,0,0,0,False,0
176.5333,120.5,0.58,38,0,0,0,False,0
176.5429,120.5,0.58,38,0,0,0,False,0
176.5486,120.5,0.58,38,0,0,0,False,0
176.5597,120.5,0.58,38,0,0,0,False,0
176.5667,120.5,0.58,38,0,0,0,False,0
176.5777,120.5,0.58,38,0,0,0,False,0
176.589,120.5,0.58,38,0,0,0,False,0
176.5945,120.5,0.58,38,0,0,0,False,0
176.6055,120.5,0.58,38,0,0,0,False,0
176.6115,120.5,0.58,38,0,0,0,False,0
176.6225,120.5,0.58,38,0,0,0,False,0
176.6288,120.5,0.58,38,0,0,0,False,0
176.6398,120.5,0.58,38,0,0,0,False,0
176.6468,120.5,0.58,38,0,0,0,False,0
176.658,120.5,0.58,38,0,0,0,False,0
176.6654,120.5,0.58,38,0,0,0,False,0
176.6754,120.5,0.58,38,0,0,0,False,0
176.6821,120.5,0.58,38,0,0,0,False,0
176.6923,120.5,0.58,38,0,0,0,False,0
176.6992,120.5,0.58,38,0,0,0,False,0
176.7086,120.5,0.58,38,0,0,0,False,0
176.716,120.5,0.58,38,0,0,0,False,0
176.7244,120.5,0.58,38,0,0,0,False,0
176.7314,120.5,0.58,38,0,0,0,False,0
176.7426,120.5,0.58,38,0,0,0,False,0
176.7486,120.5,0.58,38,0,0,0,False,0
176.7577,120.5,0.58,38,0,0,0,False,0
176.7646,120.5,0.58,38,0,0,0,False,0
176.7746,120.5,0.58,38,0,0,0,False,0
176.7806,120.5,0.58,38,0,0,0,False,0
176.7904,120.5,0.58,38,0,0,0,False,0
176.7966,120.5,0.58,38,0,0,0,False,0
176.8065,120.5,0.58,38,0,0,0,False,0
176.8135,120.5,0.58,38,0,0,0,False,0
176.8228,120.5,0.58,38,0,0,0,False,0
176.8297,120.5,0.58,38,0,0,0,False,0
176.8412,120.5,0.58,38,0,0,0,False,0
176.8462,120.5,0.58,38,0,0,0,False,0
176.8564,120.5,0.58,38,0,0,0,False,0
176.8641,120.5,0.58,38,0,0,0,False,0
176.8719,120.5,0.58,38,0,0,0,False,0
176.8785,120.5,0.58,38,0,0,0,False,0
176.8883,120.5,0.58,38,0,0,0,False,0
176.8958,120.5,0.58,38,0,0,0,False,0
176.9046,120.5,0.58,38,0,0,0,False,0
176.9117,120.5,0.58,38,0,0,0,False,0
176.9207,120.5,0.58,38,0,0,0,False,0
176.9271,120.5,0.58,38,0,0,0,False,0
