time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
374.3071,55.5252,0.58,54.6975,0,86.5665,0,False,0
374.3142,29.8,0.6,28,0,181.6253,0,False,0
374.362,29.8,0.58,28,0,181.6253,0,False,0
374.3645,29.8,0.58,28,0,181.6253,0,False,0
374.3664,29.8,0.58,28,0,181.6253,0,False,0
374.3719,29.8,0.58,28,0,181.6253,0,False,0
374.3793,29.8,0.58,28,0,181.6253,0,False,0
374.3863,29.8,0.58,28,0,181.6253,0,False,0
374.3962,29.8,0.58,28,0,181.6253,0,False,0
374.4072,29.8,0.58,28,0,181.6253,0,False,0
374.4142,29.8,0.58,28,0,181.6253,0,False,0
374.4252,29.8,0.58,28,0,181.6253,0,False,0
374.4322,29.8,0.58,28,0,181.6253,0,False,0
374.4422,29.8,0.58,28,0,181.6253,0,False,0
374.4504,29.8,0.58,28,0,181.6253,0,False,0
374.4603,29.8,0.58,28,0,181.6253,0,False,0
374.4683,29.8,0.58,28,0,181.6253,0,False,0
374.4781,29.8,0.58,28,0,181.6253,0,False,0
374.485,29.8,0.58,28,0,181.6253,0,False,0
374.496,29.8,0.58,28,0,181.6253,0,False,0
374.5038,29.8,0.58,28,0,181.6253,0,False,0
374.5151,29.8,0.58,28,0,181.6253,0,False,0
374.5262,29.8,0.58,28,0,181.6253,0,False,0
374.5319,29.8,0.58,28,0,181.6253,0,False,0
374.5429,29.8,0.58,28,0,181.6253,0,False,0
374.5498,29.8,0.58,28,0,181.6253,0,False,0
374.5609,29.8,0.58,28,0,181.6253,0,False,0
374.5703,29.8,0.58,28,0,181.6253,0,False,0
374.5798,29.8,0.58,28,0,181.6253,0,False,0
374.5909,29.8,0.58,28,0,181.6253,0,False,0
374.5977,29.8,0.58,28,0,181.6253,0,False,0
374.6087,29.8,0.58,28,0,181.6253,0,False,0
374.6156,29.8,0.58,28,0,181.6253,0,False,0
374.6278,29.8,0.58,28,0,181.6253,0,False,0
374.6348,29.8,0.58,28,0,181.6253,0,False,0
374.6446,29.8,0.58,28,0,181.6253,0,False,0
374.6526,29.8,0.58,28,0,181.6253,0,False,0
374.6635,29.8,0.58,28,0,181.6253,0,False,0
374.6746,29.8,0.58,28,0,181.6253,0,False,0
374.6815,29.8,0.58,28,0,181.6253,0,False,0
374.6925,29.8,0.58,28,0,181.6253,0,False,0
374.6994,29.8,0.58,28,0,181.6253,0,False,0
374.7104,29.8,0.58,28,0,181.6253,0,False,0
374.7176,29.8,0.58,28,0,181.6253,0,False,0
374.7284,29.8,0.58,28,0,181.6253,0,False,0
374.7378,29.8,0.58,28,0,181.6253,0,False,0
374.7475,29.8,0.58,28,0,181.6253,0,False,0
374.7596,29.8,0.58,28,0,181.6253,0,False,0
374.7654,29.8,0.58,28,0,181.6253,0,False,0
374.7775,29.8,0.58,28,0,181.6253,0,False,0
374.7845,29.8,0.58,28,0,181.6253,0,False,0
374.7943,29.8,0.58,28,0,181.6253,0,False,0
374.8039,29.8,0.58,28,0,181.6253,0,False,0
374.8144,29.8,0.58,28,0,181.6253,0,False,0
374.8244,29.8,0.58,28,0,181.6253,0,False,0
374.8301,29.8,0.58,28,0,181.6253,0,False,0
374.8424,29.8,0.58,28,0,181.6253,0,False,0
374.8481,29.8,0.58,28,0,181.6253,0,False,0
374.8592,29.8,0.58,28,0,181.6253,0,False,0
374.866,29.8,0.58,28,0,181.6253,0,False,0
374.8782,29.8,0.58,28,0,181.6253,0,False,0
374.885,29.8,0.58,28,0,181.6253,0,False,0
374.8951,29.8,0.58,28,0,181.6253,0,False,0
374.9072,29.8,0.58,28,0,181.6253,0,False,0
374.9151,29.8,0.58,28,0,181.6253,0,False,0
374.9261,29.8,0.58,28,0,181.6253,0,False,0
374.9319,29.8,0.58,28,0,181.6253,0,False,0
374.9442,29.8,0.58,28,0,181.6253,0,False,0
374.9511,29.8,0.58,28,0,181.6253,0,False,0
374.961,29.8,0.58,28,0,181.6253,0,False,0
374.9709,29.8,0.58,28,0,181.6253,0,False,0
374.9814,29.8,0.58,28,0,181.6253,0,False,0
374.9902,29.8,0.58,28,0,181.6253,0,False,0
374.9993,29.8,0.58,28,0,181.6253,0,False,0
375.0103,29.8,0.58,28,0,181.6253,0,False,0
375.0161,29.8,0.58,28,0,181.6253,0,False,0
375.0263,29.8,0.58,28,0,181.6253,0,False,0
375.0343,29.8,0.58,28,0,181.6253,0,False,0
375.0453,29.8,0.58,28,0,181.6253,0,False,0
375.0532,29.8,0.58,28,0,181.6253,0,False,0
375.0632,29.8,0.58,28,0,181.6253,0,False,0
375.0742,29.8,0.58,28,0,181.6253,0,False,0
375.0836,29.8,0.58,28,0,181.6253,0,False,0
375.0932,29.8,0.58,28,0,181.6253,0,False,0
375.1001,29.8,0.58,28,0,181.6253,0,False,0
375.1101,29.8,0.58,28,0,181.6253,0,False,0
375.1181,29.8,0.58,28,0,181.6253,0,False,0
375.1292,29.8,0.58,28,0,181.6253,0,False,0
375.135,29.8,0.58,28,0,181.6253,0,False,0
375.1459,29.8,0.58,28,0,181.6253,0,False,0
375.1562,29.8,0.58,28,0,181.6253,0,False,0
375.1638,29.8,0.58,28,0,181.6253,0,False,0
375.1748,29.8,0.58,28,0,181.6253,0,False,0
375.1818,29.8,0.58,28,0,181.6253,0,False,0
375.1927,29.8,0.58,28,0,181.6253,0,False,0
375.1999,29.8,0.58,28,0,181.6253,0,False,0
375.2108,29.8,0.58,28,0,181.6253,0,False,0
375.2188,29.8,0.58,28,0,181.6253,0,False,0
375.2297,29.8,0.58,28,0,181.6253,0,False,0
375.2397,29.8,0.58,28,0,181.6253,0,False,0
375.2477,29.8,0.58,28,0,181.6253,0,False,0
375.2586,29.8,0.58,28,0,181.6253,0,False,0
375.2657,29.8,0.58,28,0,181.6253,0,False,0
375.2778,29.8,0.58,28,0,181.6253,0,False,0
375.2836,29.8,0.58,28,0,181.6253,0,False,0
375.2946,29.8,0.58,28,0,181.6253,0,False,0
375.304,29.8,0.58,28,0,181.6253,0,False,0
375.3148,29.8,0.58,28,0,181.6253,0,False,0
